time_tick,acc_X_value,acc_Y_value,acc_Z_value
0.007874,0.504446,-4.957222,-8.529947
0.024930,0.588246,-5.001367,-8.584567
0.034879,0.558617,-5.013488,-8.622876
0.045275,0.522254,-4.936422,-8.602973
0.054927,0.533477,-4.909336,-8.529947
0.065062,0.565501,-4.915322,-8.517078
0.075244,0.574330,-4.905595,-8.447494
0.084884,0.524947,-4.889583,-8.442556
0.095154,0.508038,-4.889284,-8.440012
0.104891,0.538715,-4.962759,-8.381801
0.114988,0.604857,-5.011393,-8.271215
0.125079,0.675339,-4.976227,-8.249067
0.135028,0.746120,-4.937918,-8.338853
0.144983,0.731006,-4.910833,-8.489394
0.154915,0.732053,-4.802192,-8.594443
0.165960,0.783979,-4.665568,-8.648764
0.174985,0.795053,-4.677839,-8.677196
0.184984,0.819445,-4.872823,-8.596089
0.195230,0.857304,-5.040423,-8.402751
0.205096,0.848775,-5.152207,-8.164968
0.215109,0.848924,-5.161784,-8.054083
0.224976,0.854312,-5.110157,-8.094037
0.234947,0.913121,-5.047008,-8.182776
0.244887,1.027897,-4.972635,-8.310421
0.254919,1.112745,-4.883149,-8.380454
0.264935,1.263435,-4.866239,-8.516779
0.275115,1.455427,-4.917716,-8.662232
0.285111,1.524712,-4.985654,-8.707723
0.296504,1.504061,-4.909935,-8.583819
0.315137,1.438518,-4.887788,-8.531593
0.325181,1.413527,-4.974580,-8.438964
0.334264,1.413378,-5.144276,-8.388834
0.345170,1.476527,-5.343151,-8.248619
0.365100,1.478023,-5.248427,-8.168410
0.374784,1.391829,-5.184081,-8.180381
0.384979,1.439416,-5.119584,-8.246972
0.395038,1.548804,-5.040274,-8.443603
0.404937,1.538479,-5.066761,-8.456622
0.415014,1.461413,-5.153853,-8.369380
0.424968,1.449292,-5.222688,-8.207167
0.434914,1.434178,-5.281349,-8.064857
0.444908,1.411133,-5.263092,-7.989287
0.455041,1.460216,-5.182135,-7.984798
0.464959,1.512441,-5.125570,-7.993777
0.475272,1.517828,-5.132903,-8.019366
0.485070,1.574992,-5.188720,-8.053035
0.494926,1.655051,-5.213860,-8.055130
0.504487,1.655051,-5.264738,-8.065755
0.514977,1.714759,-5.193358,-8.081467
0.525013,1.674056,-5.071250,-8.111695
0.534850,1.648317,-5.073046,-8.091493
0.544981,1.660887,-5.186475,-8.113641
0.555130,1.709072,-5.346144,-8.137883
0.564956,1.735409,-5.447751,-8.019964
0.575318,1.771324,-5.433685,-7.794003
0.584786,1.772521,-5.280600,-7.214436
0.595299,1.928000,-5.183482,-6.931012
0.604994,2.126127,-5.166722,-6.804863
0.614982,2.304202,-5.480823,-6.592520
0.625211,2.579994,-5.800161,-5.969257
0.634859,2.964427,-6.057247,-5.383704
0.645048,3.306511,-6.340222,-5.261596
0.654607,3.793748,-6.348303,-5.318759
0.665134,4.165910,-6.023129,-5.419170
0.675432,4.389925,-5.796270,-5.410341
0.684977,4.474623,-5.607570,-5.246482
0.695442,4.697142,-5.199793,-5.177646
0.705091,5.078582,-4.928191,-4.923702
0.715100,5.372481,-5.010345,-4.411324
0.734695,6.002628,-5.378766,-2.889306
0.744955,6.677068,-5.239897,-2.345952
0.754924,5.862262,-5.358714,-2.386805
0.765135,9.412691,-5.617896,-2.253473
0.775039,10.972270,-6.178308,-3.674782
